"municipio","ano","quarter","precio"
"San Martín De Valdeiglesias",2002,4,NA
"San Sebastián De Los Reyes",2002,4,2265.58748711406
"Sevilla La Nueva",2002,4,NA
"Torrejón De Ardoz",2002,4,1618.15542741494
"Torrelodones",2002,4,2070.14835279305
"Tres Cantos",2002,4,2500.08565515959
"Valdemoro",2002,4,NA
"Villanueva De La Cañada",2002,4,NA
"Villanueva Del Pardillo",2002,4,NA
"Villaviciosa De Odón",2002,4,NA
"Alcalá De Henares",2003,1,1844.85819425283
"Alcobendas",2003,1,2965.1796262169
"Alcorcón",2003,1,2119.84905854706
"Algete",2003,1,1760.44885315792
"Alpedrete",2003,1,NA
"Aranjuez",2003,1,NA
"Arganda Del Rey",2003,1,1664.36596938894
"Arroyomolinos",2003,1,NA
"Boadilla Del Monte",2003,1,2482.68361217542
"Brunete",2003,1,NA
"Cercedilla",2003,1,NA
"Ciempozuelos",2003,1,NA
"Collado Villalba",2003,1,1728.33799335906
"Colmenar Viejo",2003,1,2003.41506647445
"Coslada",2003,1,1978.96780267737
"El Escorial",2003,1,1511.36737170328
"Fuenlabrada",2003,1,1768.41781406914
"Galapagar",2003,1,1870.32824475702
"Getafe",2003,1,1969.62782430199
"Guadarrama",2003,1,NA
"Humanes De Madrid",2003,1,NA
"La Moraleja",2003,1,NA
"Leganés",2003,1,2005.52191458535
"Majadahonda",2003,1,2574.6138651444
"Manzanares El Real",2003,1,NA
"Meco",2003,1,NA
"Mejorada Del Campo",2003,1,NA
"Molar El",2003,1,NA
"Móstoles",2003,1,1694.65430319317
"Navalcarnero",2003,1,NA
"Paracuellos Del Jarama",2003,1,NA
"Parla",2003,1,1381.1293815192
"Pinto",2003,1,1734.94857665584
"Pozuelo De Alarcón",2003,1,2709.565272413
"Rivas-Vacíamadrid",2003,1,NA
"Rozas De Madrid (Las)",2003,1,2615.14083533232
"San Agustín De Guadalix",2003,1,NA
"San Fernando De Henares",2003,1,2162.85162275316
"San Lorenzo Del Escorial",2003,1,NA
"San Martín De La Vega",2003,1,NA
"San Martín De Valdeiglesias",2003,1,NA
"San Sebastián De Los Reyes",2003,1,2337.94207727845
"Sevilla La Nueva",2003,1,NA
"Torrejón De Ardoz",2003,1,1711.97856952855
"Torrelodones",2003,1,2236.75812735459
"Tres Cantos",2003,1,2470.36607719111
"Valdemoro",2003,1,NA
"Villanueva De La Cañada",2003,1,NA
"Villanueva Del Pardillo",2003,1,NA
"Villaviciosa De Odón",2003,1,2687.51402032369
"Alcalá De Henares",2003,2,1811.16066277293
"Alcobendas",2003,2,2860.40386051421
"Alcorcón",2003,2,2331.0153339098
"Algete",2003,2,1684.26936428121
"Alpedrete",2003,2,NA
"Aranjuez",2003,2,NA
"Arganda Del Rey",2003,2,1598.84994257077
"Arroyomolinos",2003,2,NA
"Boadilla Del Monte",2003,2,2586.73645129977
"Brunete",2003,2,NA
"Cercedilla",2003,2,NA
"Ciempozuelos",2003,2,NA
"Collado Villalba",2003,2,1847.39267999908
"Colmenar Viejo",2003,2,2116.11894683259
"Coslada",2003,2,2077.74908588371
"El Escorial",2003,2,1566.07219854384
"Fuenlabrada",2003,2,1780.02829904243
"Galapagar",2003,2,1908.96201925089
"Getafe",2003,2,2079.44171356408
"Guadarrama",2003,2,NA
"Humanes De Madrid",2003,2,NA
