id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23518153,Menendez Pelayo,28038703,Luxury Rentals Madrid,Retiro,Ibiza,40.417859779399265,-3.677857335614094,Entire home/apt,240,4,2,2018-10-10,0.54,79,350
23518338,Awesome 5 floors house in Plaza Mayor - Madrid,175659536,Manuel,Centro,Sol,40.416290872850304,-3.706832530588404,Entire home/apt,200,2,22,2018-11-05,2.82,1,141
23518344,Cozy & Bright 1BD - CHUECA,175665722,Maria,Centro,Justicia,40.42461557469098,-3.6960745691887333,Entire home/apt,70,2,25,2018-10-30,3.10,1,118
23518413,Plaza Olavide,28038703,Luxury Rentals Madrid,Chamberí,Trafalgar,40.432685854064964,-3.6996409903660785,Entire home/apt,125,3,0,,,79,355
23518775,Retiro VI,28038703,Luxury Rentals Madrid,Retiro,Ibiza,40.42025834458266,-3.677765867977138,Entire home/apt,130,3,2,2018-07-13,0.39,79,323
23519152,Villanueva V,28038703,Luxury Rentals Madrid,Salamanca,Recoletos,40.421906308035865,-3.6859919407052066,Entire home/apt,140,3,1,2018-09-28,0.73,79,313
23519533,Zurbano,28038703,Luxury Rentals Madrid,Chamberí,Almagro,40.43640707028129,-3.693453678412128,Entire home/apt,260,3,9,2018-10-15,1.36,79,334
23520946,BEAUTIFUL APARTMENT IN MADRID CENTRO,109209578,Rafael,Arganzuela,Palos de Moguer,40.402488760759375,-3.690131595696468,Entire home/apt,50,2,25,2018-11-04,3.10,1,76
23521086,confortable Double Room/ comoda habitacion doble,17968917,Eva Y Gloria,Latina,Puerta del Angel,40.408838794195596,-3.7328022421009903,Private room,25,1,12,2018-11-04,1.64,2,293
23522176,Non Ordinary Apartment – close to the Center,20922154,Yulia,Puente de Vallecas,Numancia,40.402756742133896,-3.6622465441600145,Entire home/apt,79,1,25,2018-10-27,4.10,1,58
23522894,Habitación a 20m del centro de Madrid en metro.,129016253,Juan Andres,Puente de Vallecas,Numancia,40.39592610711848,-3.662160267087907,Private room,50,1,1,2018-03-01,0.12,1,0
23533084,EXCLUSIVE FLAT IN THE BEST NEIGHBORHOOD OF MADRID,9885245,My Mad Madrid,Salamanca,Recoletos,40.42870815124714,-3.685983593034111,Entire home/apt,160,1,18,2018-11-03,2.36,29,332
23533136,Suite Santiago Bernabéu,50305901,Alina,Chamartín,El Viso,40.451265973893356,-3.6880170269721977,Private room,55,1,31,2018-10-24,3.86,1,89
23533233,Double room in relax house,11233926,Gabriel,Salamanca,Fuente del Berro,40.42380321047183,-3.6614314617213766,Private room,25,1,7,2018-07-06,0.84,18,309
23534312,Stylish and Comfortable Flat in Madrid Center,175697787,Ana Luisa,Centro,Justicia,40.42027217086885,-3.700243745906346,Entire home/apt,75,2,26,2018-11-04,3.64,1,61
23534415,Piso de diseño en La Latina,7015817,Aldovar,Centro,Palacio,40.41082661085501,-3.7115774859640673,Entire home/apt,80,2,35,2018-11-04,5.07,4,60
23534437,Stylish Two Bedroom next to Plaza España and Gran Via,26521943,María,Moncloa - Aravaca,Argüelles,40.4234919051887,-3.712655930837622,Entire home/apt,105,1,3,2018-07-15,0.41,2,308
