"distrito","ano","quarter","precio"
"Moratalaz",2010,1,10.1404967593208
"Puente De Vallecas",2010,1,10.4884834842834
"Retiro",2010,1,12.2808515220249
"Salamanca",2010,1,14.8601748088942
"San Blas",2010,1,10.7842110217184
"Tetuan",2010,1,11.9924204831507
"Usera",2010,1,10.1153085304172
"Vicálvaro",2010,1,10.1297076581992
"Villa De Vallecas",2010,1,10.0390440543063
"Villaverde",2010,1,9.7118435910595
"Arganzuela",2010,2,12.2787464399848
"Barajas",2010,2,10.8739493788948
"Carabanchel",2010,2,10.547752198676
"Centro",2010,2,15.2214897418983
"Chamartín",2010,2,13.6041598023892
"Chamberí",2010,2,14.3946415334709
"Ciudad Lineal",2010,2,11.6692199223791
"Fuencarral",2010,2,10.7420667690127
"Hortaleza",2010,2,11.8436738900339
"Latina",2010,2,10.170713846429
"Moncloa",2010,2,13.3489952215321
"Moratalaz",2010,2,10.0766777212009
"Puente De Vallecas",2010,2,10.6742365185878
"Retiro",2010,2,12.1536667205816
"Salamanca",2010,2,14.9859010560873
"San Blas",2010,2,10.7495084928282
"Tetuan",2010,2,11.6563669936923
"Usera",2010,2,10.2348538442435
"Vicálvaro",2010,2,9.82840191861784
"Villa De Vallecas",2010,2,9.92218693873533
"Villaverde",2010,2,9.5980187524935
"Arganzuela",2010,3,12.0281457225122
"Barajas",2010,3,10.7105982727876
"Carabanchel",2010,3,10.2967348943035
"Centro",2010,3,15.1597369663513
"Chamartín",2010,3,13.6349696679803
"Chamberí",2010,3,14.3971399258511
"Ciudad Lineal",2010,3,11.4066868739799
"Fuencarral",2010,3,10.6692661331621
"Hortaleza",2010,3,11.7714561347479
"Latina",2010,3,10.0861458144837
"Moncloa",2010,3,13.289881916855
"Moratalaz",2010,3,9.88310227671549
"Puente De Vallecas",2010,3,10.5775073391931
"Retiro",2010,3,12.2739655263352
"Salamanca",2010,3,14.6944908672693
"San Blas",2010,3,10.8728187409996
"Tetuan",2010,3,11.6797680384887
"Usera",2010,3,10.3884303344521
"Vicálvaro",2010,3,9.60973891874971
"Villa De Vallecas",2010,3,9.6519332571622
"Villaverde",2010,3,9.42287374525169
"Arganzuela",2010,4,12.143122640144
"Barajas",2010,4,10.7573802747341
"Carabanchel",2010,4,10.3643270192593
"Centro",2010,4,15.5646136338934
"Chamartín",2010,4,13.6679113698069
"Chamberí",2010,4,14.1725310512946
"Ciudad Lineal",2010,4,11.1570041892936
"Fuencarral",2010,4,10.5669676949908
"Hortaleza",2010,4,11.6835282737539
"Latina",2010,4,10.0578151967101
"Moncloa",2010,4,13.014394589663
"Moratalaz",2010,4,9.90141368016522
"Puente De Vallecas",2010,4,10.5577343042319
"Retiro",2010,4,12.3666622203071
"Salamanca",2010,4,14.4505088716605
"San Blas",2010,4,10.7948226161754
"Tetuan",2010,4,11.846739053591
"Usera",2010,4,10.4130572408664
"Vicálvaro",2010,4,9.27925387566733
"Villa De Vallecas",2010,4,9.64135828386377
"Villaverde",2010,4,9.75010528030871
"Arganzuela",2011,1,12.0647690065382
"Barajas",2011,1,11.2439142700506
"Carabanchel",2011,1,10.3415591589746
"Centro",2011,1,15.0783334642861
"Chamartín",2011,1,13.3981224101464
"Chamberí",2011,1,14.1334893735953
"Ciudad Lineal",2011,1,11.2766455004542
"Fuencarral",2011,1,10.6425907983931
"Hortaleza",2011,1,11.6963270107181
"Latina",2011,1,9.83068307551164
"Moncloa",2011,1,12.8180782604216
"Moratalaz",2011,1,9.8323634419681
"Puente De Vallecas",2011,1,10.6153455625195
"Retiro",2011,1,12.7104138253473
"Salamanca",2011,1,14.9369746932355
"San Blas",2011,1,10.8301254820186
"Tetuan",2011,1,11.7012061491781
"Usera",2011,1,10.1582740082758
"Vicálvaro",2011,1,9.53712109155263
"Villa De Vallecas",2011,1,9.87036064061823
"Villaverde",2011,1,9.49224915874403
"Arganzuela",2011,2,12.1218809177668
"Barajas",2011,2,11.1063805551633
"Carabanchel",2011,2,10.1445161729597
"Centro",2011,2,14.9270333315522
"Chamartín",2011,2,13.5351410614635
"Chamberí",2011,2,14.0995832293583
"Ciudad Lineal",2011,2,11.5807590535267
"Fuencarral",2011,2,10.8518924221738
"Hortaleza",2011,2,11.8718923452033
"Latina",2011,2,9.96303153181491
"Moncloa",2011,2,13.1516117286308
"Moratalaz",2011,2,9.54428911399073
"Puente De Vallecas",2011,2,10.3701141501084
"Retiro",2011,2,12.9087698348843
"Salamanca",2011,2,14.8404090943709
"San Blas",2011,2,10.8579858160179
"Tetuan",2011,2,11.5544343172502
"Usera",2011,2,9.96297497470866
"Vicálvaro",2011,2,9.41478159950644
"Villa De Vallecas",2011,2,9.55866007781277
"Villaverde",2011,2,9.14956907603677
"Arganzuela",2011,3,11.8403943821531
"Barajas",2011,3,10.841084430822
"Carabanchel",2011,3,9.92400756516392
"Centro",2011,3,15.0182461190269
"Chamartín",2011,3,13.5549985525866
"Chamberí",2011,3,14.1395277999491
"Ciudad Lineal",2011,3,11.4519932985088
"Fuencarral",2011,3,10.9105605788011
"Hortaleza",2011,3,12.0148890887837
"Latina",2011,3,9.83145372214168
"Moncloa",2011,3,13.2575129417197
"Moratalaz",2011,3,9.42592208671518
"Puente De Vallecas",2011,3,10.1766519814134
"Retiro",2011,3,12.4782756229157
"Salamanca",2011,3,14.8023319108138
"San Blas",2011,3,10.8060637831965
"Tetuan",2011,3,11.5735540767183
"Usera",2011,3,10.1008006259337
"Vicálvaro",2011,3,9.14818952477611
"Villa De Vallecas",2011,3,9.67340368078341
"Villaverde",2011,3,9.11272749989362
"Arganzuela",2011,4,11.6579500383903
"Barajas",2011,4,11.1379012835565
"Carabanchel",2011,4,10.0723855685609
"Centro",2011,4,15.0133643788755
"Chamartín",2011,4,13.6184484542582
"Chamberí",2011,4,13.9474161190311
"Ciudad Lineal",2011,4,11.3537775257572
"Fuencarral",2011,4,10.6869925203282
"Hortaleza",2011,4,11.9536323622229
"Latina",2011,4,9.81157695446492
"Moncloa",2011,4,13.02690357692
"Moratalaz",2011,4,9.49158567264086
"Puente De Vallecas",2011,4,10.2952966562842
"Retiro",2011,4,12.7019051632919
"Salamanca",2011,4,14.855814855692
"San Blas",2011,4,10.5929727721711
"Tetuan",2011,4,11.2328320927906
"Usera",2011,4,9.76055353493019
"Vicálvaro",2011,4,9.08926195281564
"Villa De Vallecas",2011,4,9.47852788167531
"Villaverde",2011,4,9.21883099150658
"Arganzuela",2012,1,11.5646904935239
"Barajas",2012,1,10.8401585390873
"Carabanchel",2012,1,9.88405686238305
"Centro",2012,1,14.8223774438239
"Chamartín",2012,1,13.4474562802434
"Chamberí",2012,1,13.7064889675588
"Ciudad Lineal",2012,1,11.2890326787914
"Fuencarral",2012,1,10.4694807642389
"Hortaleza",2012,1,11.8767988479152
"Latina",2012,1,9.8281368522126
"Moncloa",2012,1,12.5051923930877
"Moratalaz",2012,1,9.27025777911021
"Puente De Vallecas",2012,1,10.086220065326
"Retiro",2012,1,12.6018912977752
"Salamanca",2012,1,14.5979876362141
"San Blas",2012,1,10.4620204645154
"Tetuan",2012,1,11.3617507730166
"Usera",2012,1,9.85421178400139
"Vicálvaro",2012,1,9.2517242117644
"Villa De Vallecas",2012,1,9.48080421484759
"Villaverde",2012,1,9.0794178344555
"Arganzuela",2012,2,11.5800394355778
"Barajas",2012,2,10.9568123215525
"Carabanchel",2012,2,9.84549968042338
"Centro",2012,2,14.482733005987
"Chamartín",2012,2,13.0600978577175
"Chamberí",2012,2,13.7252969245201
"Ciudad Lineal",2012,2,11.2075134803904
"Fuencarral",2012,2,10.4986739320574
