Provincia	Municipio	Localidad	C.P.	Dirección	Margen	"Longitud (WGS84)"	"Latitud (WGS84)"	"Precio Gasolina 95 Protección"	"Precio Gasoleo A"	"Precio Nuevo Gasoleo A"	"Precio Biodiesel"	"% éster metílico"	"Precio Bioetanol"	"% Bioalcohol"	"Precio Gasolina  98"	"Precio Gas Natural Comprimido"	Rótulo	"Tipo Venta"	Remisión	Horario
GIRONA	Cellera de Ter (La)	CELLERA DE TER (LA)      	17165	CARRER CODINA, 1	I	2,625250	41,966806	1,279	1,199	1,264		0,0		0,0	1,398		REPSOL	P	OM	L-S: 06:00-22:00; D: 06:00-14:00
GIRONA	Celrà	CELRA                    	17460	CR C-66, 30,5	I	2,865167	42,025389	1,249	1,209	1,274		0,0		0,0	1,368		REPSOL	P	OM	L-D: 06:00-22:00
GIRONA	Corçà	CORÇA                    	17121	CARRETERA C-66 KM. 12,977	D	3,020944	41,982778	1,229	1,159	1,239		0,0		0,0	1,359		BP	P	dm	L-D: 06:30-22:00
GIRONA	Escala (L')	ESCALA (L')              	17130	CALLE RONDA DELS OFICIS, 4	D	3,125944	42,113083	1,128	1,099	1,179		0,0		0,0	1,259		EMPURIES OILS	P	dm	L-D: 24H
GIRONA	Escala (L')	ESCALA (L')              	17130	CARRER DE LA LLOSA D, 80	N	3,126222	42,119194	1,149	1,069			0,0		0,0			ESCLATOIL	P	dm	L-D: 24H
GIRONA	Escala (L')	ESCALA (L')              	17130	AVENIDA GIRONA, S/N	N	3,129222	42,115111	1,169	1,079			0,0		0,0			CARREFOUR	P	dm	L-D: 24H
GIRONA	Escala (L')	ESCALA (L')              	17130	CALLE CLOSA D'EN LLOP, 2	D	3,123222	42,124972	1,269	1,209	1,274		0,0		0,0	1,388		CAMPSA	P	OM	L-D: 24H
GIRONA	Figueres	FIGUERES                 	17600	CR N-2 A ,P.K.4,5	D	2,968667	42,255889	1,209	1,199	1,264		0,0		0,0	1,328		CAMPSA	P	OM	L-D: 24H
GIRONA	Figueres	FIGUERES                 	17600	CR C-260, 28	I	2,951028	42,279278	1,209	1,199	1,264		0,0		0,0	1,328		CAMPSA	P	OM	L-D: 06:00-22:00
GIRONA	Figueres	FIGUERES                 	17600	AVINGUDA SALVADOR DALI DOMENECH, 172	D	2,951806	42,279583	1,209	1,199	1,264		0,0		0,0	1,328		REPSOL	P	OM	L-D: 06:00-22:00
